Session,Subject,GovStructure,Game,interactionDraw,interaction,Period,Partnership,Profit,Matchpay,Finished,Choice,Terminator,PartnerChoice.Poc,PTc,gplay,simplay,Age,Gender
1,12,2-player,CG,1,7,29,10,6.5,175.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,24,10,6.5,143,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,6,11,6,5,68.5,0,nC,0,C,NA,4,2,24,Female
1,12,2-player,CG,1,7,25,10,6.5,149.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,33,10,6.5,201.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,6,12,6,6.5,75,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,32,10,6.5,195,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,27,10,6.5,162.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,31,10,6.5,188.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,4,10,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,1,3,5,6.5,19.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,30,10,6.5,182,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,3,10,6.5,19.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,16,10,6.5,91,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,2,10,6.5,13,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,6,9,6,6.5,58.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,1,10,6.5,6.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,10,10,6.5,65,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,28,10,6.5,169,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,9,10,6.5,58.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,5,10,6.5,32.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,1,4,5,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,7,2,6.5,45.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,36,10,6.5,221,0,C,0,C,NA,1,1,24,Female
